Wallet,Debt,Collat Val
terra10vr9lltur60pnhgmelk5nwl526zqkdxkw6wcvq,1016.052651,0
terra1g9yr9grfxuwas9tmsc64g9ggktam4ndtpqrg69,1047.885211,0
terra1hft9acyxxxa35hrzzq29l2prez4rqrwxyp8u0a,677.070524,0
terra1azfsnhlp0xgzk2l5v6hxqjwu6gnqkz3j95azda,226.436884,0
terra19qnpln4nwxr6vzl06cyhjpa2rrgze34g4a4738,10486.51543,0
terra1eyl7xtk3su9nw07khxz62zt9uxgdzyfuzkdgjs,653.698128,0
terra1cz6fv6qln6y677knhwlvf83d54v5sr7lzaemrc,1411.875193,0
terra17c6r5as2kzrt3zwqh00swsf8ysf5wx5j96ls5y,265.8607,0
terra1mzj2l5dt696mg4t87klrjvvujwf5p45tpy2l6m,1832.338385,0
terra1lr8xh5zw7uvwmhkv2p7tpwk8w22uj6s25fqz9x,1883.312303,0
terra1g5u2p7snaywfxu4kxf23f922n8uvassce2w4fx,185.632614,0
terra1475y8xwwet95sr06me0dnuj76aeepcsdykzts2,440.647533,0
terra16qg4a3gmvyxyw4d3844r3z2c7qgvtmruvgftyx,3417.634046,0
terra10vvuwpsxpanaprjn36438g80djkprk9wdmhrqn,1576.649903,0
terra13ggtpyen4my6n8wlzgq22elklektyuxej3n9uw,111.603063,0
terra1xvacrc65ztf69mw8kc7cqn9x68xprnzt3nl2n6,1063.403307,0
terra1xq6qdaymj5qn8ujh0nmnmtz59lrjehqe6acycf,262.458227,0
terra1ywm3rl4605gjxq747rmtx8vd6qx6thmz82t35m,3776.148632,0
terra1eexl33gr6p9h8q3amx84xn7ff2y0xy92uzdd9m,2768.274481,0
terra187msadk5w9q95vzyxwhct3ddhmkcjrjyp2vpsl,662.361165,0
terra1quth6563wpu5sqvu4zl64m53wkgnq35t49ra9f,669.475341,0
terra199uw0v4jyqw7taustjt2xrnqqf5urwmy8vx3xz,1102.069441,0
terra1s0uv8n7dj5y2hntgjnv8lne7sdxwd0964zygmz,558.286545,0
terra10vxp6naamyd054t4y0js4k6dxradlzckhu3geu,153.287512,0
terra1ef6c5j254vqwst7xenlre2xrraz72slfpzvs7e,224.149973,0
terra1g83nx5kqsqeyp8h63e3m90chtz3gp5lylexdhh,186.544708,0
terra137yzeyk8l9exh5flc7fa2g2tdx59gc6qmk824p,3624.107383,0
terra17k7fsswk8yefsnmnw8rvsh4qy48g9ed87vlhch,536.055779,0
terra1rj2flxjkylcgtj6yecyxczh43qj6kj8g2wm8y0,3166.822767,0
terra1hpwnr5mkp4987sld3c5zfna58mwkl88y0alstd,139.586234,0
terra1774tc3n4sw8y57fs6lpnxd0e4umnyps34cqhdl,3593.175558,0
terra1arh5u8ekzg29ha3gl8y5gca8v0mfqa2fpedkce,117.574572,0
